雁荡山,中文名称,雁荡山
雁荡山,拼音,yandangshan
雁荡山,所属地区,中国东南温州市境和台州市南部
雁荡山,总面积,450平方公里
雁荡山,主要景点,500 多个
雁荡山,特点,芦苇茂密，结草为荡
神农架,中文名称,神农架
神农架,外文名称,Shennongjia
神农架,别名,华中屋脊
神农架,行政区类别,林区，副地级
神农架,所属地区,中国华中
神农架,下辖地区,松柏镇，木鱼镇，宋洛乡
神农架,政府驻地,松柏镇常青路18号
神农架,电话区号,719
神农架,邮政区码,442400
神农架,地理位置,湖北西部
神农架,面积,3253平方公里
神农架,人口,80321（2009年）
神农架,方言,西南官话-鄂北片、荆宜片
神农架,气候条件,亚热带季风气候
神农架,著名景点,神农顶，天燕原始生态旅游区，红坪，燕子垭
神农架,机场,神农架机场（规划）
神农架,火车站,神农架站（规划）
神农架,车牌代码,鄂
神农架,区长,周森锋
灵山大佛,中文名称,灵山大佛
灵山大佛,别名,小灵山
灵山大佛,所属地区,江苏无锡
灵山大佛,地理位置,江苏省无锡市滨湖区马山灵山路
灵山大佛,面积,30公顷
灵山大佛,高,88m
灵山大佛,佛体,79m
灵山大佛,莲花瓣,9m
灵山大佛,景区等级,5A级景区
青海湖,中文名称,青海湖
青海湖,外文名称,Qinghai Lake
青海湖,所属地区,中国青海
青海湖,地理位置,刚察县、共和县及海晏县交汇处
青海湖,面积,4583平方公里
青海湖,藏语 ,mtsho-sngon
青海湖,蒙古语,K&amp;amp;ouml;ke Naγur
青海湖,西班牙语,Lago Qinghai
黄鹤楼,中文名称,黄鹤楼
黄鹤楼,外文名称,Yellow Crane Tower
黄鹤楼,类别,古楼
黄鹤楼,地点,湖北武汉蛇山
黄鹤楼,竣工时间,始建于三国时期，1981年重建
黄鹤楼,开放时间,1985年6月重建开放
黄鹤楼,誉称,“天下江山第一楼”
华山,中文名称,华山
华山,外文名称,Mount Hua
华山,地理位置,陕西省渭南华阴市
华山,著名景点,长空栈道，苍龙岭，华山峪
华山,类别,国家级风景名胜区
长城,终点,嘉峪关
九寨沟,中文名称,九寨沟
九寨沟,外文名称,Jiuzhaigou
九寨沟,电话区号,837
九寨沟,面积,62k㎡
九寨沟,著名景点,日则沟、宝镜岩、盆景滩、芦苇海
九寨沟,车牌代码,川U
九寨沟,级别,国家AAAAA级旅游景区
九寨沟,特点,翠海、叠海、彩林、雪山、藏情
都江堰,中文名称,都江堰
都江堰,外文名称,Dujiang yan
都江堰,所属地区,四川省成都市都江堰市灌口镇
都江堰,建造人物,李冰父子
都江堰,建造时间,公元前256年
黄山,中文名称,黄山
黄山,所属地区,安徽省南部黄山市，中国华东
黄山,电话区号,559
黄山,邮政编码,242700
黄山,车牌代码,皖J
黄山,景区四绝,奇松，怪石，云海，温泉
黄山,中文名称,黄山
黄山,外文名称,Huangshan
黄山,别名,徽州
黄山,行政区类别,地级市
黄山,所属地区,中国华东，安徽省境内
黄山,下辖地区,3个市辖区、4个县和黄山风景区
黄山,政府驻地,屯溪区天都大道
黄山,邮政区码,245000
黄山,地理位置,安徽省南部，新安江上游
黄山,面积,9807平方千米
黄山,人口,135
黄山,方言,徽语，又称“徽州话”
黄山,气候条件,温暖湿润、典型的江南气候
黄山,著名景点,黄山，牯牛降，齐云山，徽州古城，屯溪老街，西递宏村古民居
黄山,机场,黄山屯溪机场
黄山,火车站,黄山站
黄山,行政区划代码,341000
黄山,荣誉,中国公众最向往的旅游城市
黄山,友好城市,丽江，张家界，开普敦、因特拉肯
黄山,经纬度,北纬30
黄山,市树市花市鸟,黄山松，黄山杜鹃，红嘴相思鸟
黄山,别名,coser黄山
黄山,国籍,中国
黄山,民族,汉
黄山,职业,RINGDOLL设计总监人型师，妆效师
黄山,信仰,COSPLAY
黄山,主要成就,《画夜》COSPLAY作品
黄山,代表作品,《画夜》
千岛湖,中文名称,千岛湖
千岛湖,别名,新安江水库
千岛湖,所属地区,中国华南
千岛湖,面积,567
千岛湖,岛屿,1078个
千岛湖,水位,108米
崂山,中文名称,崂山
崂山,外文名称,Mount Laoshan
武当山,中文名称,武当山
武当山,外文名称,Wudang Mountains
武当山,别名,太和山、谢罗山、参上山
武当山,所属地区,湖北省西北部
武当山,地理位置,湖北省西北部的十堰市丹江口境内
武当山,面积,312平方千米
